NAME,state,county,tract,mhi,mhi_moe,aggregate_income,aggregate_income_moe,lq_mean_income,lq_mean_income_moe,lq_upper_limit,lq_upper_limit_moe,mhi_owner,mhi_owner_moe,mhi_renter,mhi_renter_moe,population,population_moe,households,households_moe,avg_household_size,avg_household_size_moe,poverty_count,poverty_count_moe,poverty_universe,poverty_universe_moe,geoid,geo_level,acs_year,poverty_rate,mean_income,income_skew
Census Tract 1; San Diego County; California,06,073,000100,211023.0,92509.0,381253900.0,88920550.0,41954.0,15933.0,73625.0,21724.0,218750.0,88034.0,183750.0,84996.0,2746,344,1103,133,2.49,0.2,46,43,2746,344,06073000100,tract,2023,0.016751638747268753,345651.7679057117,1.637981489722503
Census Tract 2.01; San Diego County; California,06,073,000201,110476.0,28513.0,249983000.0,64732392.0,14647.0,5307.0,23950.0,33373.0,188889.0,19108.0,78355.0,6471.0,2376,347,1258,121,1.89,0.22,210,106,2376,347,06073000201,tract,2023,0.08838383838383838,198714.62639109697,1.7987130814936907
Census Tract 2.02; San Diego County; California,06,073,000202,121264.0,17112.0,341385800.0,63281472.0,25478.0,14097.0,51213.0,15164.0,167656.0,42803.0,111496.0,21124.0,4019,399,2253,210,1.75,0.12,158,135,3936,399,06073000202,tract,2023,0.04014227642276423,151524.988903684,1.249546352616473
Census Tract 3.01; San Diego County; California,06,073,000301,79605.0,23452.0,172907900.0,35029120.0,15254.0,13469.0,37063.0,22405.0,119141.0,57332.0,71641.0,19668.0,2487,427,1368,173,1.82,0.19,386,362,2487,427,06073000301,tract,2023,0.15520707679935666,126394.66374269006,1.5877729256037945
Census Tract 3.02; San Diego County; California,06,073,000302,89850.0,25629.0,248230000.0,62613572.0,18105.0,10824.0,40755.0,12503.0,151786.0,94683.0,77953.0,12712.0,2925,321,1773,184,1.53,0.14,277,112,2759,322,06073000302,tract,2023,0.10039869517941283,140005.6401579244,1.5582152493925923
Census Tract 4; San Diego County; California,06,073,000400,89565.0,2746.0,273838700.0,58555079.0,24037.0,10003.0,43809.0,25060.0,123906.0,72701.0,88073.0,6423.0,4079,537,2509,269,1.57,0.12,305,188,3933,535,06073000400,tract,2023,0.0775489448258327,109142.5667596652,1.2185850137851304
Census Tract 5; San Diego County; California,06,073,000500,101875.0,11689.0,240207400.0,48741038.0,24400.0,12630.0,54850.0,14517.0,147083.0,27884.0,90083.0,12099.0,2828,351,1572,173,1.8,0.14,141,95,2828,351,06073000500,tract,2023,0.04985855728429986,152803.68956743003,1.4999135172263072
Census Tract 6; San Diego County; California,06,073,000600,99161.0,8869.0,215041400.0,34854943.0,23750.0,10607.0,52771.0,13938.0,127708.0,36074.0,85433.0,14469.0,3111,350,1879,200,1.64,0.1,146,58,3111,350,06073000600,tract,2023,0.046930247508839604,114444.59819052687,1.1541291252662527
Census Tract 7; San Diego County; California,06,073,000700,109484.0,24464.0,309480400.0,59911848.0,20472.0,7996.0,39389.0,18933.0,129492.0,32435.0,91464.0,39282.0,4371,520,2587,346,1.69,0.16,315,182,4371,520,06073000700,tract,2023,0.0720658888126287,119629.06841901816,1.0926625663934288
Census Tract 8; San Diego County; California,06,073,000800,92348.0,23374.0,339509200.0,51974675.0,21144.0,9331.0,41569.0,19197.0,146731.0,21144.0,78676.0,16621.0,5105,612,2898,270,1.76,0.13,372,252,5105,612,06073000800,tract,2023,0.07286973555337904,117152.93305728088,1.268602818223252
Census Tract 9.01; San Diego County; California,06,073,000901,106133.0,18715.0,229298200.0,42698208.0,27486.0,13511.0,47905.0,7826.0,175568.0,31191.0,94602.0,18780.0,3951,462,2031,217,1.94,0.21,538,528,3951,462,06073000901,tract,2023,0.13616805871931156,112899.16297390449,1.063751735783446
Census Tract 9.02; San Diego County; California,06,073,000902,83678.0,12241.0,142954800.0,34527495.0,9866.0,6567.0,22025.0,7378.0,163977.0,44813.0,77500.0,19042.0,2661,307,1551,148,1.71,0.12,388,145,2640,302,06073000902,tract,2023,0.14696969696969697,92169.43907156673,1.1014775576802351
Census Tract 10; San Diego County; California,06,073,001000,86443.0,5129.0,272799100.0,42760364.0,27287.0,8547.0,49271.0,9082.0,104750.0,27120.0,85147.0,4997.0,4622,487,2603,237,1.77,0.12,385,204,4597,485,06073001000,tract,2023,0.08375027191646726,104801.8056089128,1.2123804774118527
Census Tract 11; San Diego County; California,06,073,001100,94007.0,2767.0,199009600.0,43435334.0,31225.0,6546.0,49400.0,10704.0,128750.0,49743.0,93527.0,4441.0,2939,399,1664,242,1.76,0.15,111,56,2894,404,06073001100,tract,2023,0.03835521769177609,119597.11538461539,1.272214998719408
Census Tract 12.01; San Diego County; California,06,073,001201,68750.0,15710.0,122789100.0,49081613.0,16212.0,11692.0,44067.0,15204.0,127083.0,90205.0,67165.0,9967.0,2290,631,1363,303,1.68,0.27,235,98,2290,631,06073001201,tract,2023,0.10262008733624454,90087.38077769626,1.3103619022210367
Census Tract 12.02; San Diego County; California,06,073,001202,102857.0,19094.0,178810800.0,34127928.0,22281.0,8584.0,42500.0,13255.0,143798.0,14824.0,80063.0,21857.0,2966,432,1720,249,1.72,0.12,472,206,2966,432,06073001202,tract,2023,0.15913688469318948,103959.76744186046,1.0107213650199836
