geoid,mhi,mhi_moe,lq_mean_income,lq_upper_limit,mhi_renter,households,avg_household_size,poverty_count,poverty_universe,poverty_rate,NAME,geo_level,acs_year,aggregate_income,mean_income,income_skew
91941,111607,5666,32220,54215,70781,12689,2.64,2347,33452,0.0701602295826856,ZCTA5 91941,zcta,2023,1805693000,142303.8064465285,1.2750437378168797
91942,81262,5732,16032,32307,62337,17575,2.28,5076,40113,0.1265425173883778,ZCTA5 91942,zcta,2023,1858070900,105722.3840682788,1.3010064245068889
91945,79381,5794,20117,34554,51373,9420,2.89,2790,27208,0.1025433695971773,ZCTA5 91945,zcta,2023,929942900,98720.05307855626,1.2436231979762948
91977,92407,5634,27138,46928,73538,19420,3.21,6493,62551,0.1038032965100478,ZCTA5 91977,zcta,2023,2277437800,117272.80123583935,1.2690900173778972
91978,111506,9981,27718,51125,103010,3268,3.21,1404,10488,0.1338672768878718,ZCTA5 91978,zcta,2023,441689500,135155.90575275398,1.2120953648481156
92019,99266,7241,23269,44139,63361,14988,3.03,4825,45620,0.1057650153441473,ZCTA5 92019,zcta,2023,1933955800,129033.61355751268,1.299877234476182
92020,72822,4187,15880,30215,52276,19507,2.92,9543,57413,0.166216710501106,ZCTA5 92020,zcta,2023,1938738400,99386.80473676116,1.3647909249507175
92021,69979,4100,15751,27662,48705,22573,2.98,12426,68298,0.181937977686023,ZCTA5 92021,zcta,2023,2244809200,99446.64865104329,1.421092737121755
92040,103585,8860,25446,44258,61809,15438,2.95,4040,45492,0.0888068231777015,ZCTA5 92040,zcta,2023,1936008500,125405.395776655,1.2106520806743737
92071,105603,5804,22784,42913,72194,21036,2.78,4964,58343,0.0850830433813825,ZCTA5 92071,zcta,2023,2634511000,125238.21068644228,1.1859342129148063
